"Date","Open","High","Low","Close"
"3/21/2019 3:00","138.32","138.4","138","138.4"
"3/21/2019 4:00","138.4","138.49","138.21","138.44"
"3/21/2019 5:00","138.44","138.48","138.2","138.2"
"3/21/2019 6:00","138.2","138.56","138.2","138.51"
"3/21/2019 7:00","138.51","138.94","138.42","138.8"
"3/21/2019 8:00","138.8","138.8","138.46","138.55"
"3/21/2019 9:00","138.55","138.63","138.4","138.58"
"3/21/2019 10:00","138.58","138.58","138.16","138.2"
"3/21/2019 11:00","138.2","138.65","138.2","138.27"
"3/21/2019 12:00","138.27","138.61","138","138.1"
"3/21/2019 13:00","138.1","138.1","136.78","137.03"
"3/21/2019 14:00","137.03","137.35","132.08","132.08"
"3/21/2019 15:00","132.08","134.86","132.08","134.27"
"3/21/2019 16:00","134.27","134.49","133.13","134.24"
"3/21/2019 17:00","134.24","134.53","133.97","134.53"
"3/21/2019 18:00","134.53","134.53","134.2","134.27"
"3/21/2019 19:00","134.27","134.79","134.27","134.79"
"3/21/2019 20:00","134.79","135.23","134.61","135.23"
"3/21/2019 21:00","135.23","136.72","135.13","135.27"
"3/21/2019 22:00","135.27","135.62","134.67","134.81"
"3/21/2019 23:00","134.81","134.97","134.4","134.57"
"3/22/2019 0:00","134.57","134.7","134.06","134.65"
"3/22/2019 1:00","134.65","134.92","134.49","134.56"
"3/22/2019 2:00","134.56","135.03","134.48","134.87"
"3/22/2019 3:00","134.87","134.99","134.62","134.62"
"3/22/2019 4:00","134.62","134.62","134.22","134.55"
"3/22/2019 5:00","134.55","134.84","134.55","134.84"
"3/22/2019 6:00","134.84","134.88","134.69","134.88"
"3/22/2019 7:00","134.88","135.21","134.86","135.21"
"3/22/2019 8:00","135.21","135.7","135.21","135.7"
"3/22/2019 9:00","135.7","136.02","135.42","135.42"
"3/22/2019 10:00","135.42","135.72","135.42","135.72"
"3/22/2019 11:00","135.72","135.72","135.32","135.5"
"3/22/2019 12:00","135.5","136.73","135.35","136.45"
"3/22/2019 13:00","136.45","136.7","136.12","136.36"
"3/22/2019 14:00","136.36","136.71","136.36","136.68"
"3/22/2019 15:00","136.68","136.8","136.14","136.36"
"3/22/2019 16:00","136.36","136.36","135.81","136.26"
"3/22/2019 17:00","136.26","136.97","136.2","136.65"
"3/22/2019 18:00","136.65","137.08","136.48","136.64"
"3/22/2019 19:00","136.64","136.87","136.42","136.87"
"3/22/2019 20:00","136.87","137.01","135.9","135.9"
"3/22/2019 21:00","135.9","136.22","135.7","136.21"
"3/22/2019 22:00","136.21","136.25","135.99","136"
"3/22/2019 23:00","136","136","136","136"
"3/23/2019 0:00","136","136","136","136"
"3/23/2019 1:00","136","136.2","135.8","136.2"
"3/23/2019 2:00","136.2","136.69","135.85","136.51"
"3/23/2019 3:00","136.51","136.78","136.35","136.55"
"3/23/2019 4:00","136.55","136.55","136.1","136.17"
"3/23/2019 5:00","136.17","136.51","136","136.38"
"3/23/2019 6:00","136.38","137.31","136.38","137.06"
"3/23/2019 7:00","137.06","137.29","136.95","137.29"
"3/23/2019 8:00","137.29","137.52","137.19","137.52"
"3/23/2019 9:00","137.52","137.53","137.27","137.35"
"3/23/2019 10:00","137.35","137.64","136.19","136.63"
"3/23/2019 11:00","136.63","136.88","136.29","136.49"
"3/23/2019 12:00","136.49","136.61","135.86","135.87"
"3/23/2019 13:00","135.87","136.15","135.5","135.87"
