Date,Open,High,Low,Close,Market Cap
12/7/2016,758.99,769.98,752.24,765.49,12171013670
12/8/2016,765.49,772.46,762.5,768.68,12276061175
12/9/2016,768.68,773.35,764.5,770.1,12322454603
12/10/2016,770.1,775.99,769.14,771.79,12374098454
12/11/2016,771.79,771.79,765.28,769.44,12376494322
12/12/2016,769.44,780.8,769.44,779.65,12350873426
12/13/2016,779.65,790.84,768.26,780.64,12475241234
12/14/2016,780.64,780.99,772.61,774.84,12481303141
12/15/2016,774.84,780.25,774.55,775.18,12468857192
12/16/2016,775.18,782.47,774.16,782.47,12477471885
12/17/2016,782.47,791.13,782.47,789.39,12561568118
12/18/2016,789.39,790.28,785.71,790.12,12648839157
12/19/2016,790.12,790.99,785.1,790.2,12665797469
12/20/2016,790.2,800.88,788.11,800.88,12693613219
12/21/2016,800.88,829.09,796.89,826.21,12840750761
12/22/2016,826.21,871.36,826.15,859,13373644631
12/23/2016,859,919.23,858.37,919.23,13935414435
12/24/2016,919.23,923.47,886.08,893.68,14586538754
12/25/2016,893.68,900.33,860.76,896.98,14335761077
12/26/2016,896.98,919.41,896.22,905.57,14328284800
12/27/2016,905.57,941.19,900.86,932.65,14557680701
12/28/2016,932.65,981.92,932.48,981.92,15022680166
12/29/2016,981.92,985.43,950.3,978.57,15607929667
12/30/2016,978.57,978.57,929.9,966.71,15535499756
12/31/2016,966.71,974.55,950,974.55,15417326902
1/1/2017,974.55,1003.54,965,999.95,15554617515
1/2/2017,999.95,1035.9,995,1020.23,16052814059
1/3/2017,1020.23,1038.26,1014.06,1038,16383783042
1/4/2017,1038,1155.54,1032.73,1142.15,16758961489
1/5/2017,1142.15,1167.16,879,989.99,17200512859
1/6/2017,989.99,1025.56,879.1,893.49,15963669901
1/7/2017,893.49,908.1,820.99,898.75,14460073178
1/8/2017,898.75,940.1,890,912.99,14470150802
1/9/2017,912.99,913.99,880.5,902.98,14575493006
1/10/2017,902.98,913.99,900.38,907.99,14440728261
1/11/2017,907.99,921.77,760.11,789.31,14570797222
1/12/2017,789.31,832.15,752,813.02,12838608280
1/13/2017,813.02,833.79,777.91,826.69,12896185609
1/14/2017,826.69,839.78,815,824.65,13222919230
1/15/2017,824.65,829.58,812,827.56,13245779531
1/16/2017,827.56,841.28,822.53,835.13,13189519341
1/17/2017,835.13,910.99,831.82,907.19,13367137058
1/18/2017,907.19,916.89,851.39,878.02,14440984494
1/19/2017,878.02,908.97,878.01,901.75,14206803611
1/20/2017,901.75,906.56,885.01,899.53,14480385906
1/21/2017,899.53,928.97,896.77,923.25,14423849300
1/22/2017,923.25,940.42,895.51,921.82,14852023011
1/23/2017,921.82,928,915.37,923.87,14880463620
1/24/2017,923.87,925.09,887.29,890.66,14739864593
1/25/2017,890.66,903.02,882.01,894.06,14443124499
1/26/2017,894.06,920.59,893.23,918.42,14424958912
1/27/2017,918.42,924.88,909.97,921.01,14712303727
1/28/2017,921.01,922.99,918.78,921.29,14799404807
1/29/2017,921.29,922.99,915,916.77,14830506868
1/30/2017,916.77,923.99,912.01,923.02,14742079853
1/31/2017,923.02,970.04,921.99,967.02,14840050887
2/1/2017,967.02,990,962.35,989.1,15443300150
2/2/2017,989.1,1013.92,977.51,1005.97,15807439263
2/3/2017,1005.97,1024,995.98,1015.09,16266158082
2/4/2017,1015.09,1041.97,1005.01,1032.98,16398955437
2/5/2017,1032.98,1032.99,998.88,1011.9,16625036454
2/6/2017,1011.9,1028.12,1009.9,1024.99,16377775313
2/7/2017,1024.99,1055,1023.19,1055,16594295859
2/8/2017,1055,1071.3,1023.58,1060.31,16990949416
2/9/2017,1060.31,1079.99,948.22,984.81,17012090466
2/10/2017,984.81,1009.09,955.99,1003.97,15818900011
2/11/2017,1003.97,1020.43,995.62,1015.18,15968204557
2/12/2017,1015.18,1016.55,1004.43,1008.49,16254784525
2/13/2017,1008.49,1014.99,990,1000.05,16151507706
2/14/2017,1000.05,1020.01,994.35,1012.65,16104089615
2/15/2017,1012.65,1015.57,1006,1013.67,16278661674
2/16/2017,1013.67,1042.14,1013.54,1034.33,16256648279
2/17/2017,1034.33,1063.99,1034.33,1059.75,16739040438
2/18/2017,1059.75,1069.23,1053.84,1059.84,17038347188
2/19/2017,1059.84,1062.2,1047.35,1054.72,17099684215
2/20/2017,1054.72,1085.13,1048.05,1085.13,16984364231
2/21/2017,1085.13,1134.59,1079.67,1133.68,17400216678
2/22/2017,1133.68,1140,1109.99,1128.54,18109304042
2/23/2017,1128.54,1193.99,1126.13,1181.02,18188081197
2/24/2017,1181.02,1213.39,1107.56,1183.72,18875411618
2/25/2017,1183.72,1186.69,1126.54,1148.77,19098025905
2/26/2017,1148.77,1185.99,1133.33,1182.03,18699285424
2/27/2017,1182.03,1201.03,1172.67,1194.5,18967150283
2/28/2017,1194.5,1214.96,1181.16,1195.2,19259836591
3/1/2017,1195.2,1230,1190.62,1228.9,19278787739
3/2/2017,1228.9,1285.1,1215.36,1260.21,19765229377
3/3/2017,1260.21,1293.35,1258.65,1287.98,20312546771
3/4/2017,1287.98,1287.99,1241.01,1270,20781998326
3/5/2017,1270,1275,1245.21,1273.99,20511028252
3/6/2017,1273.99,1288.98,1273.99,1288.88,20569242312
3/7/2017,1288.88,1288.89,1188.97,1236.29,20691545286
3/8/2017,1236.29,1245.99,1150.01,1151.39,20112790766
3/9/2017,1151.39,1211.82,1135.51,1197.2,18837905625
3/10/2017,1197.2,1325,980.01,1109.29,19274714580
3/11/2017,1109.29,1197.72,1109.03,1182.64,18940222163
3/12/2017,1182.64,1237.68,1176.4,1232.63,19034635247
3/13/2017,1232.63,1250,1215.98,1246.86,19759490300
3/14/2017,1246.86,1258.48,1228.86,1248.2,20035717031
3/15/2017,1248.2,1265,1246,1261.75,20159584580
3/16/2017,1261.75,1263.11,1131.76,1175.29,20331267122
3/17/2017,1175.29,1175.29,1065.92,1070.6,19276626859
3/18/2017,1070.6,1097.68,948.6,965.1,17809073223
3/19/2017,965.1,1060,965.1,1010.63,16105479783
3/20/2017,1010.63,1051.32,1010.01,1041.61,16590727125
3/21/2017,1041.61,1119.4,1041.61,1113.81,16885369043
3/22/2017,1113.81,1114.33,990.1,1037.97,17960772638
3/23/2017,1037.97,1052.82,1017.55,1033,16863314332
3/24/2017,1033,1033.99,925,936.83,16807771702
3/25/2017,936.83,978.6,892.12,966.76,15547603368
3/26/2017,966.76,1000,948.33,967.14,15468510350
3/27/2017,967.14,1046.16,959.88,1045.01,15737767546
3/28/2017,1045.01,1064.98,1019.02,1045.04,16668488493
3/29/2017,1045.04,1055.89,1011,1041.03,16897222171
3/30/2017,1041.03,1049.84,1022.12,1041.75,16855319774
3/31/2017,1041.75,1090.65,1041.7,1084.22,16835351978
4/1/2017,1084.22,1112.43,1073.68,1089.99,17409353466
4/2/2017,1089.99,1114.15,1081.45,1107.45,17641865728
4/3/2017,1107.45,1161.46,1107.45,1152.94,17819689472
4/4/2017,1152.94,1159.67,1126.8,1149.03,18582128269
4/5/2017,1149.03,1149.03,1115.54,1134.73,18553192009
4/6/2017,1134.73,1207.8,1134.7,1195.77,18405122660
4/7/2017,1195.77,1206,1176.37,1194.67,19221951424
4/8/2017,1194.67,1198,1167,1184.5,19381266241
